SPPARKS (08 Oct 2025)
seed 12345
app_style surface/rxn
solve_style tree

dimension 2
lattice sq/4n 1.0
region box block 0 128 0 128 -0.5 0.5
create_box box
Created box = (0 0 -0.5) to (128 128 0.5)
  1 by 1 by 1 processor grid
create_sites box
Creating sites ...
  16384 sites
  16384 sites have 4 neighbors

# surface species mapping (0 = *, 1 = A*, 2 = B*)
species A 1
species B 2

# initialize lattice
set site value 0
  16384 settings made for site
set site value 1 fraction 0.25 if site = 0
  4048 settings made for site
set site value 2 fraction 0.25 if site = 0
  3148 settings made for site

# gas concentration for k1 c_A
gas A 1.0

# surface diffusion
diffusion A 0.2
diffusion B 0.2

# A* + * -> 2A*   rate = k1 * c_A
reaction A * -> A A 1.0 gas A

# A* + B* -> 2B*  rate = k2
reaction A B -> B B 1.0

# B* + * -> 2* + B(g)  rate = k3
reaction B * -> * * 0.1

stats 0.01
run 100.0
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 1.625 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU
         0          0          0          0          0
 0.0100653        146          0          0   0.000349
 0.0200586        312          0          0   0.000731
 0.0301098        466          0          0    0.00109
 0.0401524        640          0          0    0.00149
 0.0501393        800          0          0    0.00185
 0.0600412        960          0          0    0.00221
 0.0700682       1118          0          0    0.00256
 0.0800063       1266          0          0    0.00288
  0.090043       1430          0          0    0.00325
  0.100006       1589          0          0     0.0036
  0.110142       1758          0          0    0.00396
  0.120017       1910          0          0    0.00429
  0.130078       2073          0          0    0.00464
  0.140014       2222          0          0    0.00496
   0.15004       2383          0          0    0.00531
  0.160151       2548          0          0    0.00566
  0.170005       2685          0          0    0.00596
  0.180071       2850          0          0    0.00631
  0.190139       3010          0          0    0.00666
  0.200095       3161          0          0    0.00699
   0.21015       3303          0          0     0.0073
  0.220089       3458          0          0    0.00763
  0.230179       3602          0          0    0.00794
  0.240071       3750          0          0    0.00826
   0.25012       3920          0          0    0.00863
  0.260112       4064          0          0    0.00894
  0.270095       4206          0          0    0.00924
  0.280014       4362          0          0    0.00957
  0.290036       4523          0          0    0.00992
  0.300006       4661          0          0     0.0102
   0.31008       4808          0          0     0.0105
  0.320041       4968          0          0     0.0109
  0.330048       5144          0          0     0.0113
  0.340028       5291          0          0     0.0116
  0.350027       5429          0          0     0.0119
  0.360029       5579          0          0     0.0122
  0.370068       5744          0          0     0.0125
  0.380021       5874          0          0     0.0128
  0.390001       6040          0          0     0.0132
  0.400056       6198          0          0     0.0135
  0.410035       6337          0          0     0.0138
  0.420087       6503          0          0     0.0142
  0.430184       6668          0          0     0.0147
  0.440064       6817          0          0     0.0151
  0.450181       6946          0          0     0.0154
  0.460015       7083          0          0     0.0157
   0.47018       7238          0          0     0.0161
   0.48001       7373          0          0     0.0164
  0.490026       7528          0          0     0.0168
  0.500225       7682          0          0     0.0171
  0.510064       7811          0          0     0.0174
  0.520107       7932          0          0     0.0177
  0.530101       8092          0          0      0.018
  0.540008       8244          0          0     0.0184
  0.550137       8376          0          0     0.0187
  0.560308       8519          0          0      0.019
  0.570036       8667          0          0     0.0194
  0.580035       8802          0          0     0.0197
  0.590017       8944          0          0       0.02
  0.600098       9096          0          0     0.0204
   0.61022       9232          0          0     0.0207
  0.620029       9358          0          0      0.021
  0.630019       9496          0          0     0.0213
   0.64001       9624          0          0     0.0216
  0.650292       9759          0          0     0.0219
  0.660064       9878          0          0     0.0221
  0.670021      10029          0          0     0.0225
  0.680039      10150          0          0     0.0227
  0.690014      10301          0          0     0.0231
  0.700054      10425          0          0     0.0233
   0.71008      10560          0          0     0.0236
  0.720013      10677          0          0     0.0239
  0.730115      10818          0          0     0.0242
  0.740164      10960          0          0     0.0245
  0.750005      11102          0          0     0.0248
  0.760067      11225          0          0     0.0251
  0.770196      11355          0          0     0.0254
  0.780128      11502          0          0     0.0257
  0.790166      11643          0          0      0.026
  0.800034      11765          0          0     0.0262
  0.810005      11908          0          0     0.0266
  0.820074      12028          0          0     0.0268
  0.830056      12174          0          0     0.0271
  0.840047      12296          0          0     0.0274
  0.850061      12417          0          0     0.0277
   0.86014      12559          0          0      0.028
   0.87001      12690          0          0     0.0283
  0.880073      12806          0          0     0.0285
  0.890025      12934          0          0     0.0288
  0.900076      13070          0          0     0.0291
  0.910035      13198          0          0     0.0294
  0.920031      13340          0          0     0.0297
  0.930033      13465          0          0       0.03
  0.940036      13587          0          0     0.0302
  0.950006      13712          0          0     0.0305
   0.96013      13845          0          0     0.0308
  0.970039      13960          0          0     0.0311
  0.980012      14100          0          0     0.0314
  0.990065      14213          0          0     0.0316
   1.00003      14345          0          0     0.0319
   1.01005      14463          0          0     0.0322
   1.02008      14571          0          0     0.0324
   1.03002      14699          0          0     0.0327
   1.04026      14824          0          0      0.033
   1.05003      14940          0          0     0.0332
   1.06017      15068          0          0     0.0335
   1.07015      15189          0          0     0.0338
   1.08009      15298          0          0      0.034
   1.09016      15386          0          0     0.0342
   1.10007      15509          0          0     0.0345
   1.11008      15615          0          0     0.0347
    1.1202      15708          0          0     0.0349
   1.13008      15833          0          0     0.0352
   1.14006      15955          0          0     0.0354
